PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
381,1,1,0,42.0,0,0,227.525,0
542,0,3,0,9.0,4,2,31.275,2
713,1,1,1,48.0,1,0,52.0,2
259,1,1,0,35.0,0,0,512.3292,0
104,0,3,1,33.0,0,0,8.6542,2
522,0,3,1,22.0,0,0,7.8958,2
134,1,2,0,29.0,1,0,26.0,2
751,1,2,0,4.0,1,1,23.0,2
477,0,2,1,34.0,1,0,21.0,2
811,0,3,1,26.0,0,0,7.8875,2
672,0,1,1,31.0,1,0,52.0,2
453,0,1,1,30.0,0,0,27.75,0
709,1,1,0,22.0,0,0,151.55,2
555,1,3,0,22.0,0,0,7.775,2
641,0,3,1,20.0,0,0,7.8542,2
704,0,3,1,25.0,0,0,7.7417,1
756,1,2,1,0.67,1,1,14.5,2
391,1,1,1,36.0,1,2,120.0,2
843,1,1,0,30.0,0,0,31.0,0
802,1,2,0,31.0,1,1,26.25,2
212,1,2,0,35.0,0,0,21.0,2
531,1,2,0,2.0,1,1,26.0,2
581,1,2,0,25.0,1,1,30.0,2
338,1,1,0,41.0,0,0,134.5,0
434,0,3,1,17.0,0,0,7.125,2
76,0,3,1,25.0,0,0,7.65,2
856,1,3,0,18.0,0,1,9.35,2
45,1,3,0,19.0,0,0,7.8792,1
281,0,3,1,65.0,0,0,7.75,1
306,1,1,1,0.92,1,2,151.55,2
457,0,1,1,65.0,0,0,26.55,2
270,1,1,0,35.0,0,0,135.6333,2
862,0,2,1,21.0,1,0,11.5,2
133,0,3,0,47.0,1,0,14.5,2
136,0,2,1,23.0,0,0,15.0458,0
314,0,3,1,28.0,0,0,7.8958,2
546,0,1,1,64.0,0,0,26.0,2
201,0,3,1,28.0,0,0,9.5,2
422,0,3,1,21.0,0,0,7.7333,1
147,1,3,1,27.0,0,0,7.7958,2
778,1,3,0,5.0,0,0,12.475,2
764,1,1,0,36.0,1,2,120.0,2
887,0,2,1,27.0,0,0,13.0,2
51,0,3,1,7.0,4,1,39.6875,2
852,0,3,1,74.0,0,0,7.775,2
677,0,3,1,24.5,0,0,8.05,2
119,0,1,1,24.0,0,1,247.5208,0
787,1,3,0,18.0,0,0,7.4958,2
344,0,2,1,25.0,0,0,13.0,2
189,0,3,1,40.0,1,1,15.5,1
308,1,1,0,17.0,1,0,108.9,0
225,1,1,1,38.0,1,0,90.0,2
87,0,3,1,16.0,1,3,34.375,2
447,1,2,0,13.0,0,1,19.5,2
203,0,3,1,34.0,0,0,6.4958,2
507,1,2,0,33.0,0,2,26.0,2
695,0,1,1,60.0,0,0,26.55,2
16,1,2,0,55.0,0,0,16.0,2
858,1,1,1,51.0,0,0,26.55,2
130,0,3,1,45.0,0,0,6.975,2
287,1,3,1,30.0,0,0,9.5,2
192,0,2,1,19.0,0,0,13.0,2
81,0,3,1,22.0,0,0,9.0,2
762,0,3,1,41.0,0,0,7.125,2
776,0,3,1,18.0,0,0,7.75,2
193,1,3,0,19.0,1,0,7.8542,2
337,0,1,1,29.0,1,0,66.6,2
690,1,1,0,15.0,0,1,211.3375,2
60,0,3,1,11.0,5,2,46.9,2
836,1,1,0,39.0,1,1,83.1583,0
263,0,1,1,52.0,1,1,79.65,2
763,1,3,1,20.0,0,0,7.2292,0
148,0,3,0,9.0,2,2,34.375,2
209,1,3,0,16.0,0,0,7.75,1
468,0,1,1,56.0,0,0,26.55,2
317,1,2,0,24.0,1,0,26.0,2
44,1,2,0,3.0,1,2,41.5792,0
138,0,1,1,37.0,1,0,53.1,2
218,0,2,1,42.0,1,0,27.0,2
231,1,1,0,35.0,1,0,83.475,2
441,1,2,0,45.0,1,1,26.25,2
316,1,3,0,26.0,0,0,7.8542,2
729,0,2,1,25.0,1,0,26.0,2
164,0,3,1,17.0,0,0,8.6625,2
161,0,3,1,44.0,0,1,16.1,2
598,0,3,1,49.0,0,0,0.0,2
659,0,2,1,23.0,0,0,13.0,2
10,1,2,0,14.0,1,0,30.0708,0
684,0,3,1,14.0,5,2,46.9,2
497,1,1,0,54.0,1,0,78.2667,0
661,1,1,1,50.0,2,0,133.65,2
615,0,3,1,35.0,0,0,8.05,2
588,1,1,1,60.0,1,1,79.2,0
611,0,3,0,39.0,1,5,31.275,2
837,0,3,1,21.0,0,0,8.6625,2
397,0,3,0,31.0,0,0,7.8542,2
730,0,3,0,25.0,1,0,7.925,2
752,1,3,1,6.0,0,1,12.475,2
329,1,3,0,31.0,1,1,20.525,2
260,1,2,0,50.0,0,1,26.0,2
533,0,3,1,17.0,1,1,7.2292,0
214,0,2,1,30.0,0,0,13.0,2
93,0,1,1,46.0,1,0,61.175,2
111,0,1,1,47.0,0,0,52.0,2
123,0,2,1,32.5,1,0,30.0708,0
735,0,2,1,23.0,0,0,13.0,2
1,0,3,1,22.0,1,0,7.25,2
195,1,1,0,44.0,0,0,27.7208,0
819,0,3,1,43.0,0,0,6.45,2
475,0,3,0,22.0,0,0,9.8375,2
114,0,3,0,20.0,1,0,9.825,2
117,0,3,1,70.5,0,0,7.75,1
14,0,3,1,39.0,1,5,31.275,2
95,0,3,1,59.0,0,0,7.25,2
535,0,3,0,30.0,0,0,8.6625,2
757,0,3,1,28.0,0,0,7.7958,2
26,1,3,0,38.0,1,5,31.3875,2
515,0,3,1,24.0,0,0,7.4958,2
92,0,3,1,20.0,0,0,7.8542,2
243,0,2,1,29.0,0,0,10.5,2
624,0,3,1,21.0,0,0,7.8542,2
332,0,1,1,45.5,0,0,28.5,2
516,0,1,1,47.0,0,0,34.0208,2
560,1,3,0,36.0,1,0,17.4,2
386,0,2,1,18.0,0,0,73.5,2
80,1,3,0,30.0,0,0,12.475,2
221,1,3,1,16.0,0,0,8.05,2
845,0,3,1,17.0,0,0,8.6625,2
572,1,1,0,53.0,2,0,51.4792,2
865,0,2,1,24.0,0,0,13.0,2
22,1,2,1,34.0,0,0,13.0,2
623,1,3,1,20.0,1,1,15.7417,0
19,0,3,0,31.0,1,0,18.0,2
748,1,2,0,30.0,0,0,13.0,2
813,0,2,1,35.0,0,0,10.5,2
101,0,3,0,28.0,0,0,7.8958,2
768,0,3,0,30.5,0,0,7.75,1
142,1,3,0,22.0,0,0,7.75,2
622,1,1,1,42.0,1,0,52.5542,2
423,0,3,1,29.0,0,0,7.875,2
483,0,3,1,50.0,0,0,8.05,2
356,0,3,1,28.0,0,0,9.5,2
268,1,3,1,25.0,1,0,7.775,2
462,0,3,1,34.0,0,0,8.05,2
609,1,2,0,22.0,1,2,41.5792,0
256,1,3,0,29.0,0,2,15.2458,0
313,0,2,0,26.0,1,1,26.0,2
170,0,3,1,28.0,0,0,56.4958,2
480,1,3,0,2.0,0,1,12.2875,2
165,0,3,1,1.0,4,1,39.6875,2
818,0,2,1,31.0,1,1,37.0042,0
237,0,2,1,44.0,1,0,26.0,2
428,1,2,0,19.0,0,0,26.0,2
417,1,2,0,34.0,1,1,32.5,2
673,0,2,1,70.0,0,0,10.5,2
74,0,3,1,26.0,1,0,14.4542,0
875,1,2,0,28.0,1,0,24.0,0
254,0,3,1,30.0,1,0,16.1,2
882,0,3,1,33.0,0,0,7.8958,2
765,0,3,1,16.0,0,0,7.775,2
25,0,3,0,8.0,3,1,21.075,2
23,1,3,0,15.0,0,0,8.0292,1
877,0,3,1,20.0,0,0,9.8458,2
321,0,3,1,22.0,0,0,7.25,2
342,1,1,0,24.0,3,2,263.0,2
64,0,3,1,4.0,3,2,27.9,2
872,1,1,0,47.0,1,1,52.5542,2
466,0,3,1,38.0,0,0,7.05,2
283,0,3,1,16.0,0,0,9.5,2
438,1,2,0,24.0,2,3,18.75,2
440,0,2,1,31.0,0,0,10.5,2
364,0,3,1,35.0,0,0,7.05,2
57,1,2,0,21.0,0,0,10.5,2
97,0,1,1,71.0,0,0,34.6542,0
370,1,1,0,24.0,0,0,69.3,0
760,1,1,0,33.0,0,0,86.5,2
543,0,3,0,11.0,4,2,31.275,2
84,0,1,1,28.0,0,0,47.1,2
290,1,3,0,22.0,0,0,7.75,1
595,0,2,1,37.0,1,0,26.0,2
405,0,3,0,20.0,0,0,8.6625,2
210,1,1,1,40.0,0,0,31.0,0
562,0,3,1,40.0,0,0,7.8958,2
876,1,3,0,15.0,0,0,7.225,0
362,0,2,1,29.0,1,0,27.7208,0
315,0,2,1,43.0,1,1,26.25,2
351,0,3,1,23.0,0,0,9.225,2
859,1,3,0,24.0,0,3,19.2583,0
552,0,2,1,27.0,0,0,26.0,2
589,0,3,1,22.0,0,0,8.05,2
587,0,2,1,47.0,0,0,15.0,2
625,0,3,1,21.0,0,0,16.1,2
867,1,2,0,27.0,1,0,13.8583,0
749,0,1,1,19.0,1,0,53.1,2
390,1,2,0,17.0,0,0,12.0,0
7,0,1,1,54.0,0,0,51.8625,2
358,0,2,0,38.0,0,0,13.0,2
633,1,1,1,32.0,0,0,30.5,0
107,1,3,0,21.0,0,0,7.65,2
723,0,2,1,34.0,0,0,13.0,2
705,0,3,1,26.0,1,0,7.8542,2
795,0,3,1,25.0,0,0,7.8958,2
436,1,1,0,14.0,1,2,120.0,2
814,0,3,0,6.0,4,2,31.275,2
720,0,3,1,33.0,0,0,7.775,2
510,1,3,1,26.0,0,0,56.4958,2
207,0,3,1,32.0,1,0,15.85,2
583,0,2,1,54.0,0,0,26.0,2
346,1,2,0,24.0,0,0,13.0,2
671,1,2,0,40.0,1,1,39.0,2
284,1,3,1,19.0,0,0,8.05,2
734,0,2,1,23.0,0,0,13.0,2
479,0,3,1,22.0,0,0,7.5208,2
790,0,1,1,46.0,0,0,79.2,0
222,0,2,1,27.0,0,0,13.0,2
600,1,1,1,49.0,1,0,56.9292,0
448,1,1,1,34.0,0,0,26.55,2
185,1,3,0,4.0,0,2,22.025,2
106,0,3,1,28.0,0,0,7.8958,2
799,0,3,1,30.0,0,0,7.2292,0
349,1,3,1,3.0,1,1,15.9,2
743,1,1,0,21.0,2,2,262.375,0
413,1,1,0,33.0,1,0,90.0,1
716,0,3,1,19.0,0,0,7.65,2
91,0,3,1,29.0,0,0,8.05,2
375,0,3,0,3.0,3,1,21.075,2
40,1,3,0,14.0,1,0,11.2417,0
607,0,3,1,30.0,0,0,7.8958,2
807,0,1,1,39.0,0,0,0.0,2
493,0,1,1,55.0,0,0,30.5,2
849,0,2,1,28.0,0,1,33.0,2
608,1,1,1,27.0,0,0,30.5,2
871,0,3,1,26.0,0,0,7.8958,2
435,0,1,1,50.0,1,0,55.9,2
708,1,1,1,42.0,0,0,26.2875,2
700,0,3,1,42.0,0,0,7.65,2
173,1,3,0,1.0,1,1,11.1333,2
714,0,3,1,29.0,0,0,9.4833,2
166,1,3,1,9.0,0,2,20.525,2
621,0,3,1,27.0,1,0,14.4542,0
168,0,3,0,45.0,1,4,27.9,2
747,0,3,1,16.0,1,1,20.25,2
326,1,1,0,36.0,0,0,135.6333,0
451,0,2,1,36.0,1,2,27.75,2
73,0,2,1,21.0,0,0,73.5,2
788,0,3,1,8.0,4,1,29.125,1
282,0,3,1,28.0,0,0,7.8542,2
509,0,3,1,28.0,0,0,22.525,2
874,0,3,1,47.0,0,0,9.0,2
245,0,3,1,30.0,0,0,7.225,0
568,0,3,0,29.0,0,4,21.075,2
638,0,2,1,31.0,1,1,26.25,2
796,0,2,1,39.0,0,0,13.0,2
252,0,3,0,29.0,1,1,10.4625,2
567,0,3,1,19.0,0,0,7.8958,2
240,0,2,1,33.0,0,0,12.275,2
495,0,3,1,21.0,0,0,8.05,2
450,1,1,1,52.0,0,0,30.5,2
505,1,1,0,16.0,0,0,86.5,2
506,0,1,1,18.0,1,0,108.9,0
669,0,3,1,43.0,0,0,8.05,2
502,0,3,0,21.0,0,0,7.75,1
249,1,1,1,37.0,1,1,52.5542,2
484,1,3,0,63.0,0,0,9.5875,2
805,1,3,1,27.0,0,0,6.975,2
773,0,2,0,57.0,0,0,10.5,2
382,1,3,0,1.0,0,2,15.7417,0
9,1,3,0,27.0,0,2,11.1333,2
683,0,3,1,20.0,0,0,9.225,2
550,1,2,1,8.0,1,1,36.75,2
151,0,2,1,51.0,0,0,12.525,2
366,0,3,1,30.0,0,0,7.25,2
835,0,3,1,18.0,0,0,8.3,2
685,0,2,1,60.0,1,1,39.0,2
248,1,2,0,24.0,0,2,14.5,2
520,0,3,1,32.0,0,0,7.8958,2
12,1,1,0,58.0,0,0,26.55,2
399,0,2,1,23.0,0,0,10.5,2
650,1,3,0,23.0,0,0,7.55,2
244,0,3,1,22.0,0,0,7.125,2
180,0,3,1,36.0,0,0,0.0,2
891,0,3,1,32.0,0,0,7.75,1
744,0,3,1,24.0,1,0,16.1,2
707,1,2,0,45.0,0,0,13.5,2
580,1,3,1,32.0,0,0,7.925,2
857,1,1,0,45.0,1,1,164.8667,2
220,0,2,1,30.0,0,0,10.5,2
312,1,1,0,18.0,2,2,262.375,0
153,0,3,1,55.5,0,0,8.05,2
822,1,3,1,27.0,0,0,8.6625,2
839,1,3,1,32.0,0,0,56.4958,2
831,1,3,0,15.0,1,0,14.4542,0
191,1,2,0,32.0,0,0,13.0,2
13,0,3,1,20.0,0,0,8.05,2
620,0,2,1,26.0,0,0,10.5,2
319,1,1,0,31.0,0,2,164.8667,2
132,0,3,1,20.0,0,0,7.05,2
213,0,3,1,22.0,0,0,7.25,2
665,1,3,1,20.0,1,0,7.925,2
149,0,2,1,36.5,0,2,26.0,2
158,0,3,1,30.0,0,0,8.05,2
39,0,3,0,18.0,2,0,18.0,2
854,1,1,0,16.0,0,1,39.4,2
577,1,2,0,34.0,0,0,13.0,2
85,1,2,0,17.0,0,0,10.5,2
398,0,2,1,46.0,0,0,26.0,2
718,1,2,0,27.0,0,0,10.5,2
234,1,3,0,5.0,4,2,31.3875,2
485,1,1,1,25.0,1,0,91.0792,0
288,0,3,1,22.0,0,0,7.8958,2
519,1,2,0,36.0,1,0,26.0,2
437,0,3,0,21.0,2,2,34.375,2
277,0,3,0,45.0,0,0,7.75,2
303,0,3,1,19.0,0,0,0.0,2
211,0,3,1,24.0,0,0,7.05,2
687,0,3,1,14.0,4,1,39.6875,2
538,1,1,0,30.0,0,0,106.425,0
481,0,3,1,9.0,5,2,46.9,2
848,0,3,1,35.0,0,0,7.8958,0
276,1,1,0,63.0,1,0,77.9583,2
408,1,2,1,3.0,1,1,18.75,2
188,1,1,1,45.0,0,0,26.55,2
206,0,3,0,2.0,0,1,10.4625,2
662,0,3,1,40.0,0,0,7.225,0
150,0,2,1,42.0,0,0,13.0,2
380,0,3,1,19.0,0,0,7.775,2
682,1,1,1,27.0,0,0,76.7292,0
885,0,3,1,25.0,0,0,7.05,2
616,1,2,0,24.0,1,2,65.0,2
573,1,1,1,36.0,0,0,26.3875,2
645,1,3,0,0.75,2,1,19.2583,0
444,1,2,0,28.0,0,0,13.0,2
